HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.count,Approve,Reject
31ODACBENTEBA25QTIZRUONG8MXQS9,3GWVV0PYXYH1GQ2VP9RZUNT7XANZMT,How many people are in line?,There are people waiting in line,"image, line, count, people, queue",$0.05 ,Wed Aug 02 21:23:20 PDT 2017,1,BatchId:2894164;OriginalHitTemplateId:920937333;,1800,172800,Wed Aug 09 21:23:20 PDT 2017,,,3SNLUL3WO4NJL1FBGKRXHM2UK4MLUF,A1Q0KGPCD263MD,Submitted,Wed Aug 02 22:03:34 PDT 2017,Wed Aug 02 22:05:14 PDT 2017,Fri Aug 04 22:05:14 PDT 2017,,,,100,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/dev.counting-company.com/shakeshack/shakeshack-1501026093.jpg,-132,,Can't have a negative count
3MYASTQBG6A58DM8WS42ZP1G7JNQDF,3GWVV0PYXYH1GQ2VP9RZUNT7XANZMT,How many people are in line?,There are people waiting in line,"image, line, count, people, queue",$0.05 ,Wed Aug 02 21:23:16 PDT 2017,1,BatchId:2894164;OriginalHitTemplateId:920937333;,1800,172800,Wed Aug 09 21:23:16 PDT 2017,,,35H6S234SA0KH1MPSFDNKRSHVR1564,A2J65ZHAJQDKAC,Submitted,Wed Aug 02 21:28:17 PDT 2017,Wed Aug 02 21:28:22 PDT 2017,Fri Aug 04 21:28:22 PDT 2017,,,,5,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/dev.counting-company.com/shakeshack/shakeshack-1501125352.jpg,0,,
3MIVREZQVGXDMJSIO9QP32W6RSKQKS,3GWVV0PYXYH1GQ2VP9RZUNT7XANZMT,How many people are in line?,There are people waiting in line,"image, line, count, people, queue",$0.05 ,Wed Aug 02 21:23:18 PDT 2017,1,BatchId:2894164;OriginalHitTemplateId:920937333;,1800,172800,Wed Aug 09 21:23:18 PDT 2017,,,3X4MXAO0BGO7G3ZTG43ULMWQBBIRW4,A10NF5TK6IFNX6,Submitted,Wed Aug 02 21:26:57 PDT 2017,Wed Aug 02 21:27:09 PDT 2017,Fri Aug 04 21:27:09 PDT 2017,,,,12,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/dev.counting-company.com/shakeshack/shakeshack-1501386983.jpg,0,,
37SOB9Z0SRWWZO4YBYQU5UGA60BL3N,3GWVV0PYXYH1GQ2VP9RZUNT7XANZMT,How many people are in line?,There are people waiting in line,"image, line, count, people, queue",$0.05 ,Wed Aug 02 21:23:16 PDT 2017,1,BatchId:2894164;OriginalHitTemplateId:920937333;,1800,172800,Wed Aug 09 21:23:16 PDT 2017,,,3TY7ZAOG5FKSL9LDXD1CDF18FEA0KJ,A2MCG5W6LHSRG9,Submitted,Wed Aug 02 21:28:10 PDT 2017,Wed Aug 02 21:29:06 PDT 2017,Fri Aug 04 21:29:06 PDT 2017,,,,56,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/dev.counting-company.com/shakeshack/shakeshack-1501693704.jpg,0,,
37VHPF5VYB2PXHGYA2SRTSYYSDPC8Q,3GWVV0PYXYH1GQ2VP9RZUNT7XANZMT,How many people are in line?,There are people waiting in line,"image, line, count, people, queue",$0.05 ,Wed Aug 02 21:23:32 PDT 2017,1,BatchId:2894164;OriginalHitTemplateId:920937333;,1800,172800,Wed Aug 09 21:23:32 PDT 2017,,,31T4R4OBOSGOKM99QZ5N4BYNIJ87CE,ATUR98N8W23Q3,Submitted,Wed Aug 02 21:42:36 PDT 2017,Wed Aug 02 21:42:45 PDT 2017,Fri Aug 04 21:42:45 PDT 2017,,,,9,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/dev.counting-company.com/shakeshack/shakeshack-1501385480.jpg,0,,
3PR3LXCWSEYDEKA36QUS71EJD1V9XE,3GWVV0PYXYH1GQ2VP9RZUNT7XANZMT,How many people are in line?,There are people waiting in line,"image, line, count, people, queue",$0.05 ,Wed Aug 02 21:23:01 PDT 2017,1,BatchId:2894164;OriginalHitTemplateId:920937333;,1800,172800,Wed Aug 09 21:23:01 PDT 2017,,,3WZ36BJEV3GS8FEAP2CTYNKNPVYBTM,A2ZUKYMM3YV6JN,Submitted,Wed Aug 02 21:31:11 PDT 2017,Wed Aug 02 21:31:16 PDT 2017,Fri Aug 04 21:31:16 PDT 2017,,,,5,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/dev.counting-company.com/shakeshack/shakeshack-1501300382.jpg,0,,
33TGB4G0LOGWYZJH4WZ9Y1FV78XXT1,3GWVV0PYXYH1GQ2VP9RZUNT7XANZMT,How many people are in line?,There are people waiting in line,"image, line, count, people, queue",$0.05 ,Wed Aug 02 21:23:01 PDT 2017,1,BatchId:2894164;OriginalHitTemplateId:920937333;,1800,172800,Wed Aug 09 21:23:01 PDT 2017,,,3300DTYQT2HDN2Y2IPKOUQFL8LCQEN,A6OPXUFETV2BY,Submitted,Wed Aug 02 21:35:55 PDT 2017,Wed Aug 02 21:39:54 PDT 2017,Fri Aug 04 21:39:54 PDT 2017,,,,239,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/dev.counting-company.com/shakeshack/shakeshack-1500863375.jpg,0,,
3UZUVSO3P6UJF42G0U85OYZWXURMEH,3GWVV0PYXYH1GQ2VP9RZUNT7XANZMT,How many people are in line?,There are people waiting in line,"image, line, count, people, queue",$0.05 ,Wed Aug 02 21:23:32 PDT 2017,1,BatchId:2894164;OriginalHitTemplateId:920937333;,1800,172800,Wed Aug 09 21:23:32 PDT 2017,,,33IZTU6J811Y6I4W5YZLDFFT6F8XSS,AKH0WFAUBUKUS,Submitted,Wed Aug 02 21:37:09 PDT 2017,Wed Aug 02 21:37:15 PDT 2017,Fri Aug 04 21:37:15 PDT 2017,,,,6,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/dev.counting-company.com/shakeshack/shakeshack-1501383976.jpg,0,,
31ANT7FQN71XR78CYWZPSZLN3FT5HQ,3GWVV0PYXYH1GQ2VP9RZUNT7XANZMT,How many people are in line?,There are people waiting in line,"image, line, count, people, queue",$0.05 ,Wed Aug 02 21:23:01 PDT 2017,1,BatchId:2894164;OriginalHitTemplateId:920937333;,1800,172800,Wed Aug 09 21:23:01 PDT 2017,,,3YJ6NA41JBG0Y6JFWDGQR1238XNPJH,A3QDDIWTGHQSLI,Submitted,Wed Aug 02 21:42:21 PDT 2017,Wed Aug 02 21:42:32 PDT 2017,Fri Aug 04 21:42:32 PDT 2017,,,,11,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/dev.counting-company.com/shakeshack/shakeshack-1500844432.jpg,0,,
3O4VWC1GEV5Q4YGY8DEHPF3I2B6J3J,3GWVV0PYXYH1GQ2VP9RZUNT7XANZMT,How many people are in line?,There are people waiting in line,"image, line, count, people, queue",$0.05 ,Wed Aug 02 21:23:17 PDT 2017,1,BatchId:2894164;OriginalHitTemplateId:920937333;,1800,172800,Wed Aug 09 21:23:17 PDT 2017,,,351SEKWQS0HHAHMAU12N7ZDVY8EDMU,A1Q0KGPCD263MD,Submitted,Wed Aug 02 21:30:40 PDT 2017,Wed Aug 02 21:30:56 PDT 2017,Fri Aug 04 21:30:56 PDT 2017,,,,16,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/dev.counting-company.com/shakeshack/shakeshack-1501253175.jpg,0,,
3VGET1QSZZYUB1HKHO0MRM96991W7W,3GWVV0PYXYH1GQ2VP9RZUNT7XANZMT,How many people are in line?,There are people waiting in line,"image, line, count, people, queue",$0.05 ,Wed Aug 02 21:23:32 PDT 2017,1,BatchId:2894164;OriginalHitTemplateId:920937333;,1800,172800,Wed Aug 09 21:23:32 PDT 2017,,,3KJYX6QCM9BD3QGBIPPPXTRLULNVJ7,AVKBOD59XEMXW,Submitted,Wed Aug 02 21:38:31 PDT 2017,Wed Aug 02 21:38:35 PDT 2017,Fri Aug 04 21:38:35 PDT 2017,,,,4,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/dev.counting-company.com/shakeshack/shakeshack-1501012555.jpg,0,,
3SBNLSTU6T4EM5NZJONFQIDKCM8DZW,3GWVV0PYXYH1GQ2VP9RZUNT7XANZMT,How many people are in line?,There are people waiting in line,"image, line, count, people, queue",$0.05 ,Wed Aug 02 21:23:18 PDT 2017,1,BatchId:2894164;OriginalHitTemplateId:920937333;,1800,172800,Wed Aug 09 21:23:18 PDT 2017,,,3GNA64GUZE4DRJ597ORLQW98VSCQ5L,A2ZUKYMM3YV6JN,Submitted,Wed Aug 02 21:28:31 PDT 2017,Wed Aug 02 21:28:38 PDT 2017,Fri Aug 04 21:28:38 PDT 2017,,,,7,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/dev.counting-company.com/shakeshack/shakeshack-1500952992.jpg,0,,
3WPCIUYH197I0TE0DWYX4UC3RQMDTG,3GWVV0PYXYH1GQ2VP9RZUNT7XANZMT,How many people are in line?,There are people waiting in line,"image, line, count, people, queue",$0.05 ,Wed Aug 02 21:23:16 PDT 2017,1,BatchId:2894164;OriginalHitTemplateId:920937333;,1800,172800,Wed Aug 09 21:23:16 PDT 2017,,,378XPAWRUCDXGRT7PCDTP5Y8WWXAI9,A10NF5TK6IFNX6,Submitted,Wed Aug 02 21:29:33 PDT 2017,Wed Aug 02 21:29:39 PDT 2017,Fri Aug 04 21:29:39 PDT 2017,,,,6,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/dev.counting-company.com/shakeshack/shakeshack-1501510262.jpg,0,,
36JW4WBR05JPT41148CYEBC0S97HFL,3GWVV0PYXYH1GQ2VP9RZUNT7XANZMT,How many people are in line?,There are people waiting in line,"image, line, count, people, queue",$0.05 ,Wed Aug 02 21:23:32 PDT 2017,1,BatchId:2894164;OriginalHitTemplateId:920937333;,1800,172800,Wed Aug 09 21:23:32 PDT 2017,,,3RXPCZQMQPBNQCAC35KXTSSPDP01GL,A1Q0KGPCD263MD,Submitted,Wed Aug 02 21:40:18 PDT 2017,Wed Aug 02 21:40:36 PDT 2017,Fri Aug 04 21:40:36 PDT 2017,,,,18,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/dev.counting-company.com/shakeshack/shakeshack-1501211665.jpg,0,,
3TLFH2L6Y8NVXJGKG7EG8BLZUZXT2N,3GWVV0PYXYH1GQ2VP9RZUNT7XANZMT,How many people are in line?,There are people waiting in line,"image, line, count, people, queue",$0.05 ,Wed Aug 02 21:23:18 PDT 2017,1,BatchId:2894164;OriginalHitTemplateId:920937333;,1800,172800,Wed Aug 09 21:23:18 PDT 2017,,,3VFJCI1K4ZZBJH9T1ZZCZJA2HNTGRV,A3QS7M912JGKFD,Submitted,Wed Aug 02 21:32:20 PDT 2017,Wed Aug 02 21:32:35 PDT 2017,Fri Aug 04 21:32:35 PDT 2017,,,,15,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/dev.counting-company.com/shakeshack/shakeshack-1500906671.jpg,0,,
34ZTTGSNJWNMKTRAIONSQAGEZBGQHO,3GWVV0PYXYH1GQ2VP9RZUNT7XANZMT,How many people are in line?,There are people waiting in line,"image, line, count, people, queue",$0.05 ,Wed Aug 02 21:23:16 PDT 2017,1,BatchId:2894164;OriginalHitTemplateId:920937333;,1800,172800,Wed Aug 09 21:23:16 PDT 2017,,,3L6L49WXW0X62EIB9RK8NT83Z0V54J,A27MJOV91GA8R3,Submitted,Wed Aug 02 21:28:06 PDT 2017,Wed Aug 02 21:29:36 PDT 2017,Fri Aug 04 21:29:36 PDT 2017,,,,90,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/dev.counting-company.com/shakeshack/shakeshack-1501729786.jpg,0,,
3E9VAUV7BVDGJ8AI3SUUMAWCLP7AY0,3GWVV0PYXYH1GQ2VP9RZUNT7XANZMT,How many people are in line?,There are people waiting in line,"image, line, count, people, queue",$0.05 ,Wed Aug 02 21:23:16 PDT 2017,1,BatchId:2894164;OriginalHitTemplateId:920937333;,1800,172800,Wed Aug 09 21:23:16 PDT 2017,,,3C44YUNSI1PNVKJNMHUFO37Q3DQDPR,A1FPCIKO68OQ63,Submitted,Wed Aug 02 21:39:44 PDT 2017,Wed Aug 02 21:39:51 PDT 2017,Fri Aug 04 21:39:51 PDT 2017,,,,7,0% (0/0),0% (0/0),0% (0/0),https://s3.amazonaws.com/dev.counting-company.com/shakeshack/shakeshack-1501297674.jpg,0,,
